X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
552805.9999,672191,1,1032,RNJ FUEL LLC NJ 0202,1300 GALLOPING HILL RD,4736,LSRP,Active,C2,Ongoing,1,Union
547358.9999,671883,2,1035,NATIONAL TOOL AND MANE CO,100 NORTH 12TH ST,26639,LSRP,Active,C2,Ongoing,1,Union
552998.0001,671151.0001,3,1040,COLUMBIA LEATHER & COATING INC,10 MARKET ST,33297,LSRP,Active,C2,,1,Union
553348.0001,669436.9999,4,1041,SPINDLER BROTHERS COMPANY INC,188 MARKET ST,19436,LSRP,Active,C2,,1,Union
549094.0001,675288,5,1042,CRYOFAB  INC,540 MICHIGAN AVE N,158543,LSRP,Active,C2,Ongoing,1,Union
565772.9999,681828.0001,6,1049,PLESSEY DYNAMICS CORPORATION,1410 1430 CHESTNUT AVE,G000003241,LSRP,Active,C3,Ongoing,2,Union
550986.9999,671412.9999,7,1052,JERSEY FUEL,619 BLVD,259,LSRP,Active,C2,Ongoing,1,Union
562641.9999,679167.0002,8,1054,INTERCAR AUTO SALE,666 RTE 22 E,30848,LSRP,Active,C1,,1,Union
567268.26,679301.89,9,1055,BRISTOL MYERS PRODUCTS,225 LONG AVE,541,LSRP,Active,D,Ongoing,1,Union
564714.0801,679598.5898,10,1056,TEXACO INC,440 RT 22 & BLOY ST,11699,LSRP,Active,C2,Ongoing,1,Union
567205,679859.0001,11,1058,HILLSIDE TWP DPW AND COMMUNITY CTR,272-274 HILLSIDE AVE,33188,LSRP,Active,C2,,1,Union
563397.0699,679329.32,12,1061,BP S/S 10089,600 RTE 22,882,LSRP,Active,C2,Ongoing,1,Union
567922.0002,679530.0001,13,1062,NOVAL INC,231 RT 22 W,12999,LSRP,Active,C1,,1,Union
567062.9999,661507,14,1066,APACHE BUILDING PRODUCTS CO,2025 LINDEN AVE,5614,RAP,Active - RAP,,Ongoing,0,Union
566294.0001,680319.0002,15,1071,BRISTOL MYERS PRODUCTS A DIV OF BRISTOL,1350 LIBERTY AVE,24921,LSRP,Active,C3,Ongoing,1,Union
567111.0001,680343.0001,16,1072,DELTA,1393 LIBERTY AVE,25887,LSRP,Active,C2,Ongoing,1,Union
564712,683308.0001,17,1076,HILLSIDE INDUSTRIAL CENTER,100 HOFFMAN PL,25693,LSRP,Active,D,,3,Union
565941.9999,681431.9999,18,1088,PHILLIPS 66,1399 CHESTNUT AVE,15174,LSRP,Active,C2,,1,Union
540280,662743.9999,19,1097,GARWOOD FUEL LLC,431 NORTH AVE & CTR ST,8419,LSRP,Active,C2,Ongoing,1,Union
570488.9999,679242,20,1100,S&G PETROLEUM CORP,1410 N BROAD ST,94763,LSRP,Active,B,,1,Union
570464,678807.9999,21,1104,18 ROUTE 22,18 RT 22,5061,LSRP,Active,C2,,1,Union
524818.0001,658066,22,1107,FANWOOD EXXON 3-4185,MARTINE & LA GRANDE AVES,7919,RAP,Active - RAP,C2,Ongoing,0,Union
524295.0001,657810.9999,23,1115,STATION SQUARE AT FANWOOD LLC,213 217 & 225 LN GRANDE AVE,18136,LSRP,Active,C2,Ongoing,1,Union
586966.0001,669878,24,1116,APM TERMINAL ELIZABETH LL,5080 MCLESTER ST,5649,LSRP,Active,C2,Ongoing,1,Union
575347.0001,660424.9999,25,1119,ELIZABETHTOWN GAS COMPANY,200-234 3RD AVE & FLORIDA ST,30684,LSRP,Active,C3,Ongoing,2,Union
571983.9999,663055.9999,26,1122,MOONLIGHT PETROLEUM INC,438 442 RT 25,23672,LSRP,Active,C2,Ongoing,1,Union
577680.96,659387.4898,27,1129,E PORT LLC,2 74 S FRONT ST,14323,RAP,Active - RAP,C2,,0,Union
571134,665265.0001,28,1138,LUKOIL SERVICE STATION #57349,211 S BROAD ST,6213,RAP,Active - RAP,,Ongoing,0,Union
570032.9999,681484.0001,29,1141,ROAD RUNNER FUEL,1601 MAPLE AVE,16663,LSRP,Active,C2,,1,Union
567119.0001,680560,30,1143,BP SERVICE STATION #30367,1400 LIBERTY AVE,886,LSRP,Active,C2,Ongoing,1,Union
570902.0001,663802,31,1154,J & R FUEL,361 S BROAD ST,32145,LSRP,Active,C2,,1,Union
579272.8899,663740.22,32,1157,REGULA STATIONS INC,232 3RD ST,1550,LSRP,Active,C2,Ongoing,1,Union
574399,662628.0001,33,1158,AM TO PM INC,502 3RD AVE,7486,LSRP,Active,C2,Ongoing,1,Union
580907.0001,663814,34,1159,QUALITY TUNE & LUBE PLUS INC,332 SECOND ST,90495,LSRP,Active,C1,,1,Union
565967.0001,667411,35,1161,GEORGE & MEDHAT CORP,556 WESTFIELD AVE,7485,LSRP,Active,C2,Ongoing,1,Union
569903.0001,667831.9999,36,1166,SMITH MOTORS REALTY CORP,79 W GRAND ST,33021,LSRP,Active,B,,1,Union
563903,666393.0001,37,1168,PSE&G CENTRAL DIVISION-ELIZABETH ELECTRIC,900 W GRAND ST,4183,LSRP,Active,B,,,Union
576604.9999,659856.0001,38,1169,CYCLE CHEM CORP,217 SOUTH 1ST ST,6918,TRADITIONA,Active,D,,2,Union
577230.9999,659828.0001,39,1171,APEX CHEMICAL CORPORATION,200 S 1ST ST,G000030754,RAP,Active - RAP,C2,,0,Union
574831.0001,669089,40,1173,FUEL ONE,489 SPRING ST,7123,LSRP,Active,C2,Ongoing,1,Union
575168.55,670369.3101,41,1174,SPRING FUEL LLC,590 SPRING ST,1353,LSRP,Active,C2,Ongoing,1,Union
454461,800316,42,1445,EXXON PMG 8153,88 WOODPORT RD,7089,RAP,Active - RAP,,Ongoing,1,Sussex
471187.7999,842348.9799,43,1449,GREY ELEPHANT LLC,35 GINGERBREAD CASTLE RD,2171,RAP,Active - RAP,,,0,Sussex
470078,832370.9999,44,1450,SPEEDWAY 3456,272 RT 23 E,8409,LSRP,Active,C2,Ongoing,1,Sussex
469700.0001,828313.0001,45,1453,LUKOIL 57226,91 S BOUND RT 23,9269,RAP,Active - RAP,,Ongoing,0,Sussex
431579.9999,761877.0001,46,1459,STANHOPE SHELL,27 RT 206,4726,RAP,Active - RAP,,Ongoing,0,Sussex
433187.9999,833122,47,1461,QUICKCHEK CORP #170,77 RT 206,8966,RAP,Active - RAP,,Ongoing,0,Sussex
431590.9999,760071.0001,48,1464,STANHOPE EXXON TIGER MART #36107,1 RT 206 & ACORN ST,7805,RAP,Active - RAP,,Ongoing,0,Sussex
513355,657692.0001,49,1472,LOCKHEED ELECTRONICS CO INC,1501 RT 22,4334,RAP,Active - RAP,,Ongoing,0,Somerset
515220.6102,658390.5401,50,1473,LUKOIL #57242,1555 RT 22,8544,RAP,Active - RAP,,Ongoing,0,Somerset
492633.1599,652668.1099,51,1488,DINARDO SERVICE CENTER INC,89 MT BETHEL RD,25414,LSRP,Active,C2,,1,Somerset
460779.9999,636397.0001,52,1497,LUKOIL #57309,914 E RT 22,7246,LSRP,Active,C2,Ongoing,1,Somerset
457420,634018.9999,53,1498,STAY HUMBLE CORP - NJ 0239,176 WEST END AVE,14291,RAP,Active - RAP,,Ongoing,0,Somerset
460498.0001,636487.9999,54,1499,SOMERVILLE SHELL,900 RT 22 E,12659,RAP,Active - RAP,,Ongoing,0,Somerset
464209.9999,635946,55,1500,SOMERVILLE DODGE INC,1050 RT 22 E,2280,LSRP,Active,C2,Ongoing,1,Somerset
457488.9999,633044.9999,56,1502,TOWNE LABORATORIES INC,6 10 BELL AVE,26331,LSRP,Active,D,,1,Somerset
457858.0001,632651,57,1510,NJ ELECTRIC MOTORS CORPORATION,84 SOMERSET ST,G000041104,LSRP,Active,C2,,1,Somerset
459715,628364.0001,58,1515,TOWNE LABORATORIES INCORPORATED,1 RTE 206,G000029847,RAP,Active - RAP,,,0,Somerset
457798.9999,636100,59,1520,PMG 8185,280 RT 202 - 206,8401,LSRP,Active,C2,Ongoing,1,Somerset
464632,636066.0001,60,1524,SUNOCO 0010-3283 80000421,1062 RTE 22 E,16516,LSRP,Active,C2,,1,Somerset
506676.9999,656274,61,1525,THAKUR FUEL LLC,900 SOMERSET ST,11116,RAP,Active - RAP,,,0,Somerset
505732.9999,656804.9999,62,1526,WATCHUNG  NJ0261,989 SOMERSET ST,1497,LSRP,Active,C2,Ongoing,1,Somerset
505468.0001,657274,63,1527,WATCHUNG CIRCLE PROPERTIES LLC,15 STIRLING RD,885,RAP,Active - RAP,C2,,0,Somerset
462654.0001,631362,64,1529,AMOCO SERVICE STATION 84817,157 MAIN ST E,1190,RAP,Active - RAP,,Ongoing,0,Somerset
463471.0001,631237.9999,65,1530,SUNOCO 80000226,201 E MAIN ST & GASTON AVE,14837,LSRP,Active,C2,Ongoing,1,Somerset
457310.9999,633145,66,1535,COLOR TECHNOLOGY INC,60 CORNELL BLVD,4859,LSRP,Active,C2,,2,Somerset
455883.0002,631731.9999,67,1538,MIDDLESEX CHEMICALS INC,1 ELIZABETH ST,32736,RAP,Active - RAP,,,0,Somerset
452365,632765.0001,68,1540,RARITAN YARD,24 JOHNSON DR,728241,LSRP,Active,B,,1,Somerset
453463.0001,634223.0002,69,1544,RARITAN SHELL STATION,RTE 202 S & 601 1ST AVE,16260,LSRP,Active,C2,Ongoing,1,Somerset
506044.9999,650827.0001,70,1545,FUEL 4,925 RTE 22 W,12943,LSRP,Active,C2,,1,Somerset
506230.9999,650720,71,1549,BJ SALES INC,922 US HWY 22 E,7677,LSRP,Active,C3,,1,Somerset
547451.0001,678938,72,615,BED BATH AND BEYOND,581 RAHWAY AVE,20929,LSRP,Active,C2,Ongoing,1,Union
547863.4901,679046.5001,73,616,AMERICAN PRODUCTS,610 RAHWAY AVE,3461,LSRP,Active,D,Ongoing,1,Union
566699.4399,670118.2801,74,618,ENR-G SVC CORP,508 NORTH AVE,31123,LSRP,Active,C2,,1,Union
549768,681288.9999,75,624,MAJESTIC DRY CLEANERS,2589 MORRIS AVE,742655,LSRP,Active,C2,,1,Union
564665.3101,674273.5401,76,626,THOMPSON & COMPANY INC,1120 MORRIS AVE,23546,LSRP,Active,C2,Ongoing,1,Union
