FID,Permit_ID,Permit_Nam,Address,City,State,Zip,County,PrimaryWas,PrimaryOpe,PermitStat,PermitExpD,Status,Latitude,Longitude,counties_FID,counties_OBJECTID,counties_PERIMETER,counties_CO_ABBR,counties_ACRES,counties_Shape_Leng,counties_RO,counties_GlobalID,counties_SHAPE_Le_1,counties_SHAPE_Area
"1",7401-MSWLF-,Pitt County MSWLF (Closed 0500n),Landfill Road,Greenville,NC,"27834",Pitt,MSW,LF,InactiveClosed,,Closed,35.598360999999997,-77.435700999999995,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"2",7401-MSWLF-1974,Pitt County Landfill,Allen Road (S.R. 1203),Greenville,NC,"27834",Pitt,MSW,LF,InactiveClosed,,Closed,35.597040999999997,-77.439441000000002,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"3",7407-CDLF-2001,C & D Landfill Inc.(Phase 1),802 Recycling Lane,Greenville,NC,"27834",Pitt,CD,LF,Active,2014/07/21,Open,35.622211000000000,-77.182070999999993,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"4",7407-CDLF-2009,C & D Landfill Inc,802 Recycling Lane,Greenville,NC,"27834",Pitt,CD,LF,Active,2014/07/21,Open,35.622211000000000,-77.182070999999993,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"5",74A-DEMO-1983,"Greenville, City Of",Cemetary Road,Greenville,NC,"27858",Pitt,CD,LF,InactiveClosed,,Closed,35.612242999999999,-77.335948999999999,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"6",74B-DEMO-1986,"Farmville, Town Of",Stantonsburg Road (S.R. 1200),Farmville,NC,"27828",Pitt,CD,LF,InactiveClosed,,Closed,35.615372000000001,-77.563901000000001,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"7",74C-LCID-,E R Lewis Construction,5508 County Home Road,Greenville,NC,"27835",Pitt,LCID,LF,Active,2015/09/01,Open,35.530144999999997,-77.343853999999993,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"8",74D-LCID-,E R Lewis,3034 NC Highway 33 West,Greenville,NC,"27833",Pitt,LCID,LF,Active,2015/09/01,Open,35.683325000000004,-77.426331000000005,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"9",74E-LCID-,Whitehurst LCID Landfill,U.S. Hwy 264 E. & S.R. 1550,Greenville,NC,"27834",Pitt,LCID,LF,InactiveClosed,,Closed,35.621059000000002,-77.183041000000003,"54",54.000000000000000,222342.062500000000000,PITT,419067.875000000000000,729467.207844999968074,WARO,{D0DA6CF9-DC21-44D7-B54E-031D9A47F7F6},273685.104964919562917,18254584818.700000762939453
"10",7502-CDLF-2002,Polk County C&D Landfill,322 Landfill Road,Millspring,NC,"28756",Polk,CD,LF,InactiveClosed,,Open,35.320200999999997,-82.186010999999993,"71",71.000000000000000,115044.968750000000000,POLK,152720.031250000000000,377443.378408999997191,ARO,{0467A5EE-08B5-4977-BF80-DD987968462F},141061.072794718289515,6652480300.789999961853027
